File,Errors,ID,Format,Version,Basis for ID,Warning
X:\school\data\Govdocs1-threads\565\565082.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\565\565342.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\565\565581.gz#trac_195____a2_20050916_151502.fts,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\565\565916.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\566\566787.gz#566787,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\567\567689.hlp,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/474, fmt/1790"
X:\school\data\Govdocs1-threads\569\569210.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\569\569514.java,,x-fmt/422,Java Language Source Code File,,extension match java,match on extension only
X:\school\data\Govdocs1-threads\569\569688.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\569\569758.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\570\570862.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\571\571717.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\573\573208.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\573\573334.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\574\574474.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\574\574557.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\576\576743.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\578\578379.gz#kisf_halph_fd_20000128_0927.fts,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\578\578481.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\581\581005.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\581\581160.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\581\581935.gz#trac_171____a0_20041028_124059.fts,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\582\582252.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\583\583335.gz#yohk_softx_fd_19950613_2158.fts,,UNKNOWN,,,,no match
X:\school\data\Govdocs1-threads\584\584691.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\584\584943.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\585\585581.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\586\586253.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\586\586709.sql,,fmt/206,Structured Query Language Data,,extension match sql,match on extension only
X:\school\data\Govdocs1-threads\586\586959.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\589\589881.gz#eit_00195_20030116_001056.fts,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\590\590172.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\590\590804.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\591\591488.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\592\592978.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [574245 3] [574333 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\593\593689.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\593\593750.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\594\594318.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\594\594659.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\594\594670.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\594\594675.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\594\594946.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\596\596419.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\596\596607.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\597\597167.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\597\597482.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\598\598289.unk,,fmt/40,Microsoft Word Document,97-2003,"container name CompObj with byte match at 64, 20; name WordDocument with name only",extension mismatch
X:\school\data\Govdocs1-threads\598\598612.gls,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\599\599062.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\599\599067.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\599\599068.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\599\599104.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\599\599266.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\599\599822.unk,,x-fmt/266,GZIP Format,,"byte match at 0, 3",extension mismatch
X:\school\data\Govdocs1-threads\601\601415.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\601\601492.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\602\602593.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\603\603615.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\603\603804.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\605\605683.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\605\605698.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\605\605857.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\605\605934.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\606\606026.unk,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\607\607528.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\608\608331.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\608\608715.unk,,fmt/126,Microsoft Powerpoint Presentation,97-2003,container name PowerPoint Document with name only,extension mismatch
X:\school\data\Govdocs1-threads\609\609021.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\609\609075.unk,,fmt/40,Microsoft Word Document,97-2003,"container name CompObj with byte match at 64, 20; name WordDocument with name only",extension mismatch
X:\school\data\Govdocs1-threads\609\609091.doc,,x-fmt/45,Microsoft Word Document Template,97-2003,"container name CompObj with byte match at 70, 20; name WordDocument with byte match at 10, 1",extension mismatch
X:\school\data\Govdocs1-threads\609\609210.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\609\609580.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\609\609752.unk,,fmt/40,Microsoft Word Document,97-2003,"container name CompObj with byte match at 70, 20; name WordDocument with name only",extension mismatch
X:\school\data\Govdocs1-threads\609\609805.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\609\609826.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\610\610604.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\611\611235.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\611\611389.unk,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\611\611658.unk,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\611\611818.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\612\612878.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\613\613571.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\614\614959.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\614\614960.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\615\615272.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\616\616107.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\616\616389.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\617\617413.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\618\618185.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\618\618275.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\618\618332.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\618\618643.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\619\619594.sql,,fmt/206,Structured Query Language Data,,extension match sql,match on extension only
X:\school\data\Govdocs1-threads\619\619682.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\621\621055.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\621\621077.troff,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\622\622570.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\623\623019.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\623\623774.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\624\624306.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\624\624794.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\624\624888.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\625\625832.kmz,,x-fmt/263,ZIP Format,,byte match at [[0 4] [322658 3] [322745 4]] (signature 1/2),extension mismatch
X:\school\data\Govdocs1-threads\626\626089.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\627\627242.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\627\627456.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\627\627726.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\627\627939.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\628\628044.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\629\629181.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\630\630727.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\631\631982.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\632\632259.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\634\634149.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\635\635861.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\636\636389.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\636\636738.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\637\637845.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\638\638270.unk,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\639\639434.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\641\641444.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\641\641885.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\642\642012.ps,,x-fmt/266,GZIP Format,,"byte match at 0, 3",extension mismatch
X:\school\data\Govdocs1-threads\642\642071.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\642\642077.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\642\642445.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\643\643019.html,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/97, fmt/98, fmt/99, fmt/100, fmt/102, fmt/103, fmt/96, fmt/471, fmt/583, fmt/1132"
X:\school\data\Govdocs1-threads\643\643634.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\643\643906.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\643\643944.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\643\643964.unk,,x-fmt/111,Plain Text File,,text match ASCII,match on text only; extension mismatch
X:\school\data\Govdocs1-threads\644\644663.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\644\644672.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\644\644743.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\645\645684.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\647\647103.unk,,fmt/32,AutoCAD Drawing,R11/12,"byte match at 0, 6",extension mismatch
X:\school\data\Govdocs1-threads\647\647158.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\647\647468.xml,,UNKNOWN,,,,"no match; possibilities based on extension are fmt/101, fmt/121, fmt/120, fmt/896, fmt/1011, fmt/1189, fmt/1374, fmt/1376, fmt/1375, fmt/1377, fmt/1378, fmt/1379, fmt/1474, fmt/1475, fmt/1476, fmt/1477, fmt/1677, fmt/1724, fmt/1729, fmt/1771, fmt/1776, fmt/1813, fmt/1946, fmt/1997, fmt/1998, fmt/1999"
X:\school\data\Govdocs1-threads\647\647777.dbase3,,x-fmt/9,dBASE Database,III,"byte match at 0, 44",extension mismatch
X:\school\data\Govdocs1-threads\647\647934.unk,,fmt/40,Microsoft Word Document,97-2003,"container name CompObj with byte match at 70, 20; name WordDocument with name only",extension mismatch
X:\school\data\Govdocs1-threads\648\648444.csv,,x-fmt/18,Comma Separated Values,,extension match csv,match on extension only
X:\school\data\Govdocs1-threads\649\649040.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\649\649428.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\654\654100.unk,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\654\654198.unk,,x-fmt/383,Flexible Image Transport System,,"byte match at 0, 169",extension mismatch
X:\school\data\Govdocs1-threads\654\654375.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\654\654505.log,,x-fmt/62,Log File,,extension match log,match on extension only
X:\school\data\Govdocs1-threads\654\654688.log,,x-fmt/62,Log File,,extension match log,match on extension only
